case #,charge_description,charge_status,bail_amount,bond_type,court_date,court_time,court_of_jurisdiction
19ba-cr04192-01,unlawful_use_of_weapon-subsection_9-shoot_at/from_motor_veh,,.00,nobd,02/24/2020,13:30,
19ba-cr04192-01,murder_2nd_degree,,.00,nobd,02/24/2020,13:30,
19ba-cr02197,fta_-_obstructing_government_operations,,500.00,c/s,06/16/2020,13:00,
20ba-cr00279,domestic_assault_-_2nd_degree,,"50,000.00",c/s,06/25/2020,14:00,
20ba-cr01504,assault_4th_deg_-_pursuant_to_subdivision_(6)_special_victim,,.00,c/s,06/25/2020,14:00,
20ba-cr01504,burglary_1st_degree,,"10,000.00",c/s,06/25/2020,14:00,
20ba-cr01504,resisting_or_interfering_with_arrest/detention/stop,,.00,c/s,06/25/2020,14:00,
15ba-cr03225-01,fojo/_orig:_leaving_the_scene_injury_prop_damage,,"25,000.00",cash,04/28/2020,13:30,d11
on_view,driving_while_revoked/suspended,,.00,nobd,05/11/2020,13:30,
summons,f/t_signal/gave_improper_signal_when_turning_lft_or_rght,,.00,sum,,,
on_view,dwi_-_habitual,,.00,nobd,05/11/2020,13:30,
on_view,tampering_with_physical_evidence_in_felony_prosecution,,.00,nobd,05/11/2020,13:30,
on_view,resisting/interfering_with_arrest_for_a_felony,,.00,nobd,05/11/2020,13:30,
20ba-cr01756,possession_of_controlled_substance_except_35_grams_or_less_o,,"20,000.00",c/s,05/07/2020,13:30,
13ba-cr01462-01,fta:_non-support,,"10,000.00",c/s,05/11/2020,13:30,d02
19ba-cr01066,property_damage_2nd_degree,,"2,500.00",c/s,01/29/2020,13:30,d05
not_filed,burglary_-_2nd_degree,not_filed,"4,500.00",c/s,,,d09
19ba-cr01066,trespass_-_1st_degree,,"2,500.00",c/s,01/29/2020,13:30,d05
20ba-cr01424,possession_of_controlled_substance_except_35_grams_or_less_o,,.00,nobd,06/25/2020,14:00,
20ba-cr01424,unlawful_use_of_weapon_-_subsection_4_-_exhibiting,,.00,nobd,06/25/2020,14:00,
20ba-cr01424,domestic_assault-4th_degree-1st_or_2nd_offense_(2)(3)(4)(6),,.00,nobd,06/25/2020,14:00,
18ba-cr04199-01,robbery_-_1st_degree,,"40,000.00",cash,01/13/2020,13:30,d03
18ba-cr04199-01,armed_criminal_action,,"5,000.00",cash,01/13/2020,13:30,d03
18ba-cr04199-01,stealing_-_physically_take,,"5,000.00",cash,01/13/2020,13:30,d03
19ba-cr04793-01,domestic_assault_-_3rd_degree,,"70,000.00",c/s,02/03/2020,13:30,d09
19ba-cr04793-01,burglary_1st_degree,,.00,c/s,02/03/2020,13:30,d09
19ba-cr02853,"ftojo-aslt_3rd,_resisting",,"3,000.00",c/s,03/05/2020,14:00,d05
20ba-cr00011,possession_of_controlled_substance_except_35_grams_or_less_o,,"13,000.00",cash,03/05/2020,14:00,
20ba-cr00011,unlawful_possession_of_a_firearm,,"13,000.00",cash,03/05/2020,14:00,
20ba-cr00011,disarming_a_peace_officer_or_correctional_officer_while_perf,,"13,000.00",cash,03/05/2020,14:00,
20ba-cr00011,resisting_or_interfering_with_arrest/detention/stop,,"13,000.00",cash,,,
18ba-cr04144-01,robbery_-_1st_degree,,"50,000.00",cash,,,
18ba-cr04144-01,armed_criminal_action,,"50,000.00",cash,,,
20ba-cr01496,possession_of_controlled_substance_except_35_grams_or_less_o,,"5,000.00",c/s,06/25/2020,14:00,
